Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
"台灣的最高峰是哪一座山？","玉山","雪山","阿里山","合歡山","A"
"p5.js 是什麼？","一個 JavaScript 視覺藝術函式庫","一個資料庫系統","一個後端框架","一個作業系統","A"
"光速 (c) 的值約是多少？","300 公里/秒","30 萬公里/秒","300 萬公里/秒","3 億公里/秒","B"
"以下哪種動物是哺乳類？","麻雀","鯊魚","企鵝","鯨魚","D"
"哪一個是臺灣的四大直轄市之一？","新竹市","基隆市","台南市","嘉義市","C"
"太陽系中體積最大的行星是哪一顆？","地球","火星","木星","土星","C"
"哪一種編程語言通常用於網頁前端的結構定義？","Python","Java","HTML","C++","C"
"在化學中，H2O 代表什麼？","氨氣","二氧化碳","水","甲烷","C"
"哪位藝術家畫了《蒙娜麗莎》？","梵谷","達文西","畢卡索","莫內","B"
"地球繞行太陽一圈所需的時間約是多久？","一天","一個月","一年","四年","C"
"哪一個國家以富士山聞名？","韓國","中國","日本","泰國","C"
"10 的 3 次方是多少？","10","100","1000","10000","C"
"哪一個是臺灣最長的河流？","淡水河","濁水溪","高屏溪","曾文溪","B"
